Metabolite_Name	Reaction_ID
ca2_e	EX_ca2_e
fe3_e	EX_fe3_e
glyc_e	EX_glyc_e
k_e	EX_k_e
mg2_e	EX_mg2_e
nh4_e	EX_nh4_e
o2_e	EX_o2_e
pi_e	EX_pi_e
so4_e	EX_so4_e
